id,sentence,score,learning_value,tags
824,Halverwege het jaar kunt u dus niet op een andere verzekering overstappen.,131,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Formal U register (official contexts),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | VERB.Separable-verb | ARTICLE.Het | PRONOUN.2sg-formal-u | NEGATION.niet | MODALITY.Epistemic-kan | CONNECTOR.dus-consecutive | DISCOURSE.Formal-register-u | TOPIC.Health | TOPIC.Finance-admin
222,"Hij heeft me een maand geleden al een keer gevraagd: 'Mag mijn hond bij je logeren?' Ik heb toen gezegd: 'Sorry, ik kan niet, want ik ben dit weekend niet thuis'.",130,Perfect tense (exam essential); Negation pattern; Modal verb (2); Negation: niet; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.kunnen | MODAL.mogen | VERBCLUSTER.modal-inf | NP.Demonstrative | NP.Noun-compound | PRONOUN.1sg | PRONOUN.2sg-informal | PARTICLE.al | NEGATION.niet | MODALITY.Deontic-permission | MODALITY.Epistemic-kan | CONNECTOR.want-causal | DISCOURSE.Informal-register | TOPIC.Daily-life | TOPIC.Travel-leisure
818,"Als u over uw zorgverzekering niet tevreden bent, kunt u overstappen.",127,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Formal U register (official contexts),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | VERB.Separable-verb | PRONOUN.2sg-formal-u | NEGATION.niet | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u | TOPIC.Health
236,Of zeg dat je voor een examen moet studeren en dat je geen tijd hebt.,125,Perfect tense (exam essential); Negation pattern; Modal verb (1); Negation: geen; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.moeten | VERBCLUSTER.modal-inf | NP.Demonstrative | PRONOUN.2sg-informal | PRONOUN.Relative-clause | NEGATION.geen | MODALITY.Deontic-obligation | SYNTAX.Subordinate-clause | CONNECTOR.en-additive | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener | TOPIC.Education
1131,"Ze zijn zacht en schoon, maar je hoeft ze niet de hele dag te verzorgen.",125,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | ARTICLE.De | PRONOUN.2sg-informal | PRONOUN.3sg-masc | PRONOUN.3pl | PARTICLE.maar | NEGATION.niet | NEGATION.hoeven-neg | CONNECTOR.en-additive | CONNECTOR.maar-adversative | DISCOURSE.Informal-register
217,"Je moet het niet doen, als je geen zin hebt.",124,Perfect tense (exam essential); Negation pattern; Modal verb (1); Negation: niet; Negation: geen,SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.moeten | VERBCLUSTER.modal-inf | ARTICLE.Het | PRONOUN.2sg-informal | NEGATION.niet | NEGATION.geen | MODALITY.Deontic-obligation | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register
777,Studeren en werken Is het thuis niet stil en wilt u rustig werken?,124,Present tense (most frequent); Question form (conversation); Modal verb (1); Negation: niet; Formal U register (official contexts),SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | ARTICLE.Het | NP.Noun-compound | PRONOUN.2sg-formal-u | NEGATION.niet | CONNECTOR.en-additive | DISCOURSE.Formal-register-u | TOPIC.Daily-life
499,"Rafael Ja, ik wil je zo snel mogelijk bezoeken, maar ik moet eerst voor de vliegtickets sparen.",119,Present tense (most frequent); Modal verb (2); Informal register (daily conversation); 1st person singular; 2nd person informal (je),SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.moeten | MODAL.willen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.1sg | PRONOUN.2sg-informal | PARTICLE.maar | MODALITY.Deontic-obligation | MODALITY.Epistemic-adverbial | CONNECTOR.maar-adversative | CONNECTOR.Temporal-sequence | DISCOURSE.Informal-register | TOPIC.Travel-leisure | TOPIC.Finance-admin
782,"Als u geen laptop hebt, kunt u één uur per dag een computer van de bibliotheek gebruiken.",119,Perfect tense (exam essential); Negation pattern; Modal verb (1); Negation: geen; Formal U register (official contexts),SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.2sg-formal-u | NEGATION.geen | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u
181,Wanneer bent u vrij en wanneer is de school van uw kinderen dicht?,118,Present tense (most frequent); Wh-question (information seeking); Formal U register (official contexts); 2nd person formal (U); Topic: Education,SENTENCE_TYPE.Wh-question | TENSE.Presens | VERB.Separable-verb | ARTICLE.De | PRONOUN.2sg-formal-u | DEGREE.Moderate-intensifier | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.en-additive | DISCOURSE.Formal-register-u | TOPIC.Education | TOPIC.Relationships-family
498,"Hier schijnt de zon elke dag, dus je zal hier geen koude voeten hebben.",117,Perfect tense (exam essential); Future tense; Negation pattern; Modal verb (1); Negation: geen,SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | TENSE.Futurum-zullen | MODAL.zullen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.2sg-informal | NEGATION.geen | CONNECTOR.dus-consecutive | DISCOURSE.Informal-register | TOPIC.Nature-environment
56,"En je hoeft even helemaal aan niets te denken, alleen maar te kijken.",109,Present tense (most frequent); Negation pattern; Modal verb (1); Informal register (daily conversation); 2nd person informal (je),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | PRONOUN.2sg-informal | PRONOUN.Indefinite | PARTICLE.maar | PARTICLE.even | NEGATION.niets | CONNECTOR.maar-adversative | DISCOURSE.Informal-register | TOPIC.Media-entertainment
1253,"En je hoeft even helemaal aan niets te denken, alleen maar te kijken.",109,Present tense (most frequent); Negation pattern; Modal verb (1); Informal register (daily conversation); 2nd person informal (je),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | PRONOUN.2sg-informal | PRONOUN.Indefinite | PARTICLE.maar | PARTICLE.even | NEGATION.niets | CONNECTOR.maar-adversative | DISCOURSE.Informal-register | TOPIC.Media-entertainment
1095,"Soms moet je ook betalen, als je in een natuurgebied wil wandelen of fietsen.",108,Present tense (most frequent); Modal verb (2); Informal register (daily conversation); 2nd person informal (je); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.moeten | MODAL.willen | VERBCLUSTER.modal-inf | PRONOUN.2sg-informal | MODALITY.Deontic-obligation | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.of-alternative | DISCOURSE.Informal-register | TOPIC.Travel-leisure | TOPIC.Finance-admin
365,"Monteur Splash monteurs goedemiddag, wat kan ik voor u doen?",106,Present tense (most frequent); Wh-question (information seeking); Modal verb (1); Formal U register (official contexts); 1st person singular,SENTENCE_TYPE.Wh-question | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | NP.Noun-compound | PRONOUN.1sg | PRONOUN.2sg-formal-u | PRONOUN.Relative-clause | MODALITY.Epistemic-kan | DISCOURSE.Formal-register-u
273,"Wat wil je nog meer met de taal bereiken, wat is je doel?",105,Present tense (most frequent); Wh-question (information seeking); Modal verb (1); Informal register (daily conversation); 2nd person informal (je),SENTENCE_TYPE.Wh-question | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | ARTICLE.De | NP.Adjective-comparative | PRONOUN.2sg-informal | PRONOUN.Relative-clause | PARTICLE.nog | DISCOURSE.Informal-register | DISCOURSE.Indirect-request | TOPIC.Education
621,"Oh, dat hoeft niet, ik heb het thuis al gewassen.",105,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Conversation opener,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | ARTICLE.Het | NP.Demonstrative | NP.Noun-compound | PRONOUN.1sg | PARTICLE.al | NEGATION.niet | NEGATION.hoeven-neg | SYNTAX.Subordinate-clause | DISCOURSE.Backchannel-opener | TOPIC.Daily-life
761,Voor luisterboeken en e-boeken hoeft u niet eens uit uw stoel te komen.,105,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; 2nd person formal (U),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | PRONOUN.2sg-formal-u | PARTICLE.eens | NEGATION.niet | NEGATION.hoeven-neg | CONNECTOR.en-additive
289,"Bas Eh, ik ben niet zo gemotiveerd als jij, denk ik.",103,Perfect tense (exam essential); Negation pattern; Negation: niet; Informal register (daily conversation); Conversation opener,SENTENCE_TYPE.Negative-declarative | TENSE.Perfectum | PRONOUN.1sg | PRONOUN.2sg-informal | NEGATION.niet | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener
763,"Als u toch liever naar het Spui komt, kunt u daar aan een leestafel kranten en tijdschriften lezen.",103,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.Het | NP.Adjective-comparative | PRONOUN.2sg-formal-u | PARTICLE.toch | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | CONNECTOR.en-additive | DISCOURSE.Formal-register-u
372,Wanneer kunt u langskomen?,102,Present tense (most frequent); Question form (conversation); Modal verb (1); Formal U register (official contexts); 2nd person formal (U),SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u | DISCOURSE.Indirect-request
698,Ik loop hard in het bos of ik fiets met een groepje.' Vind je het ook leuk om naar sport te kijken?,101,Present tense (most frequent); Question form (conversation); Informal register (daily conversation); 1st person singular; 2nd person informal (je),SENTENCE_TYPE.Yes-no-question | TENSE.Presens | VERBCLUSTER.te-inf | ARTICLE.Het | NP.Diminutive | PRONOUN.1sg | PRONOUN.2sg-informal | CONNECTOR.of-alternative | DISCOURSE.Informal-register | TOPIC.Media-entertainment | TOPIC.Daily-life | TOPIC.Health | TOPIC.Nature-environment
287,Bas Wat denk je: kan ik Arabisch leren?,100,Present tense (most frequent); Question form (conversation); Modal verb (1); Informal register (daily conversation); 1st person singular,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | PRONOUN.1sg | PRONOUN.2sg-informal | MODALITY.Epistemic-kan | DISCOURSE.Informal-register | TOPIC.Education
810,Deze kosten hoeft u dus niet zelf te betalen.,100,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; 2nd person formal (U),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.hoeven-neg | VERBCLUSTER.modal-inf | VERBCLUSTER.te-inf | PRONOUN.2sg-formal-u | NEGATION.niet | NEGATION.hoeven-neg | CONNECTOR.dus-consecutive | TOPIC.Finance-admin
205,"Ik wil dus eigenlijk 'nee' zeggen, maar ik durf het niet.",99,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; 1st person singular,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | ARTICLE.Het | PRONOUN.1sg | PARTICLE.maar | PARTICLE.eigenlijk | NEGATION.niet | CONNECTOR.maar-adversative | CONNECTOR.dus-consecutive
685,Toen kreeg ik meer plezier in hardlopen.' En sinds wanneer ga je naar de sportschool?,99,Past tense (storytelling); Wh-question (information seeking); Informal register (daily conversation); 1st person singular; 2nd person informal (je),SENTENCE_TYPE.Wh-question | TENSE.Imperfectum | ARTICLE.De | NP.Adjective-comparative | NP.Noun-compound | PRONOUN.1sg | PRONOUN.2sg-informal | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.en-additive | DISCOURSE.Informal-register
852,Met dit bonnetje kunt u het statiegeld terugkrijgen of een deel van uw boodschappen betalen.,99,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.Het | NP.Diminutive | NP.Demonstrative | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | CONNECTOR.of-alternative | DISCOURSE.Formal-register-u | TOPIC.Daily-life | TOPIC.Finance-admin
890,"Je kunt bijvoorbeeld zeggen: ""Mooie locatie is dit, hè!', 'Ben je hier eerder geweest?' of 'Heb je al een stuk taart gehad?' Later kun je serieuzere vragen stellen, zoals: 'Wat voor werk doe je?', 'Hoe heb je je baan gevonden?' en 'Waar heb je vroeger gewerkt?"" Diana Aha, nuttige tips!",99,Perfect tense (exam essential); Modal verb (1); Informal register (daily conversation); 2nd person informal (je); Modal + infinitive cluster,SENTENCE_TYPE.Exclamative | TENSE.Perfectum | MODAL.kunnen | VERBCLUSTER.modal-inf | NP.Demonstrative | PRONOUN.2sg-informal | PARTICLE.al | PARTICLE.hè-tag | MODALITY.Epistemic-kan | CONNECTOR.en-additive | CONNECTOR.of-alternative | DISCOURSE.Informal-register | TOPIC.Work-career | TOPIC.Housing-living
237,Philip Je moet inderdaad zeggen dat je honden niet leuk vindt.,98,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.moeten | VERBCLUSTER.modal-inf | NP.Demonstrative | PRONOUN.2sg-informal | NEGATION.niet | MODALITY.Deontic-obligation | SYNTAX.Subordinate-clause | DISCOURSE.Informal-register
256,Helpt het als je al een andere taal hebt geleerd?,98,Perfect tense (exam essential); Question form (conversation); Informal register (daily conversation); 2nd person informal (je); Topic: Education,SENTENCE_TYPE.Yes-no-question | TENSE.Perfectum | ARTICLE.Het | PRONOUN.2sg-informal | PARTICLE.al | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register | TOPIC.Education
793,Een extra verzekering Naast de basisverzekering kunt u nog extra verzekeringen kiezen.,98,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.2sg-formal-u | PARTICLE.nog | MODALITY.Epistemic-kan | DISCOURSE.Formal-register-u | TOPIC.Health | TOPIC.Finance-admin
410,"Moeder Nou, kun je dat zelf niet even doen?",97,Present tense (most frequent); Question form (conversation); Negation: niet; Informal register (daily conversation); Conversation opener,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | PRONOUN.2sg-informal | PRONOUN.Relative-clause | PARTICLE.even | PARTICLE.nou | NEGATION.niet | SYNTAX.Subordinate-clause | DISCOURSE.Informal-register | DISCOURSE.Indirect-request | DISCOURSE.Backchannel-opener
860,"Nou, ga in ieder geval naar een uitzendbureau en schrijf je als werkzoekende in.",97,Future tense; Informal register (daily conversation); 2nd person informal (je); Gaan-future; Topic: Work-career,SENTENCE_TYPE.Affirmative-declarative | TENSE.Futurum-gaan | VERBCLUSTER.gaan-inf | VERB.Separable-verb | PRONOUN.2sg-informal | PARTICLE.nou | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | CONNECTOR.en-additive | DISCOURSE.Informal-register | TOPIC.Work-career
891,Heb je nog een laatste advies voor mensen die graag willen beginnen met netwerken?,97,Present tense (most frequent); Question form (conversation); Modal verb (1); Informal register (daily conversation); 2nd person informal (je),SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | PRONOUN.2sg-informal | PRONOUN.Relative-clause | PARTICLE.nog | DISCOURSE.Informal-register | TOPIC.Work-career
470,"Sidra Ja, het is hier bloed heet, maar ik zal niet klagen.",96,Future tense; Negation pattern; Modal verb (1); Negation: niet; Conversation opener,SENTENCE_TYPE.Negative-declarative | TENSE.Futurum-zullen | MODAL.zullen | VERBCLUSTER.modal-inf | ARTICLE.Het | PRONOUN.1sg | PARTICLE.maar | NEGATION.niet | CONNECTOR.maar-adversative | DISCOURSE.Backchannel-opener
680,En ik zat op turnen.' Je was zeker geen meisje voor ballet?,95,Past tense (storytelling); Question form (conversation); Negation: geen; Informal register (daily conversation); 1st person singular,SENTENCE_TYPE.Yes-no-question | TENSE.Imperfectum | TENSE.Plusquamperfectum | VERB.Reflexive | NP.Diminutive | PRONOUN.1sg | PRONOUN.2sg-informal | PARTICLE.zeker | NEGATION.geen | DISCOURSE.Informal-register
822,"Als u over een nieuwe verzekering twijfelt, kunt u online verschillende verzekeringen vergelijken.",95,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u | TOPIC.Media-entertainment | TOPIC.Health | TOPIC.Finance-admin
1066,"Niet zo zeuren dus en schiet op, want je komt te laat.",95,Present tense (most frequent); Negation pattern; Negation: niet; Informal register (daily conversation); 2nd person informal (je),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | PRONOUN.2sg-informal | DEGREE.te-excess | NEGATION.niet | SYNTAX.Inversion-V2 | CONNECTOR.want-causal | CONNECTOR.en-additive | CONNECTOR.dus-consecutive | DISCOURSE.Informal-register
202,"Op vrijdagavond wil ze met haar vriend uitgaan, maar ze heeft geen oppas.",93,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: geen; Modal + infinitive cluster,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | VERB.Separable-verb | NP.Noun-compound | PRONOUN.3sg-fem | PRONOUN.3pl | PARTICLE.maar | NEGATION.geen | CONNECTOR.maar-adversative | TOPIC.Daily-life | TOPIC.Relationships-family
588,"Moeder Ja, natuurlijk, maak je maar geen zorgen.",93,Present tense (most frequent); Negation pattern; Negation: geen; Informal register (daily conversation); Conversation opener,SENTENCE_TYPE.Negative-declarative | TENSE.Presens | PRONOUN.2sg-informal | PARTICLE.maar | PARTICLE.natuurlijk | NEGATION.geen | CONNECTOR.maar-adversative | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener
667,"Kom, doe je bril maar even af.",93,"Present tense (most frequent); Command/request (rare, high value); Informal register (daily conversation); 2nd person informal (je); Particles (2)",SENTENCE_TYPE.Imperative | SENTENCE_TYPE.Imperative-softened | TENSE.Presens | VERB.Separable-verb | PRONOUN.2sg-informal | PARTICLE.maar | PARTICLE.even | CONNECTOR.maar-adversative | DISCOURSE.Informal-register
750,"Of je gaat naar Den Haag, als je vriend nog meer schilderijen wil zien.",93,Present tense (most frequent); Modal verb (1); Informal register (daily conversation); 2nd person informal (je); Gaan-future,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.willen | VERBCLUSTER.gaan-inf | NP.Adjective-comparative | PRONOUN.2sg-informal | PARTICLE.nog | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register | TOPIC.Travel-leisure | TOPIC.Relationships-family
757,"De Centrale bibliotheek in Den Haag Bent u weleens in dat mooie witte gebouw aan het Spui geweest, op nummer 68?",93,Perfect tense (exam essential); Question form (conversation); Formal U register (official contexts); 2nd person formal (U); Topic: Travel-leisure,SENTENCE_TYPE.Yes-no-question | TENSE.Perfectum | ARTICLE.Het | PRONOUN.2sg-formal-u | SYNTAX.Subordinate-clause | DISCOURSE.Formal-register-u | TOPIC.Travel-leisure
774,In het Taalcafé kunt u samen met anderen Nederlands spreken.,93,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.Het | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | DISCOURSE.Formal-register-u | TOPIC.Education
816,Of u kunt in de app van uw zorgverzekering kijken.,93,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | DISCOURSE.Formal-register-u | TOPIC.Media-entertainment | TOPIC.Health
907,"Nou, fijn dat je als verkoper in onze boekwinkel wilt werken.",93,Present tense (most frequent); Modal verb (1); Informal register (daily conversation); Conversation opener; 2nd person informal (je),SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.willen | NP.Demonstrative | PRONOUN.2sg-informal | PRONOUN.1pl | PARTICLE.nou | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener | DISCOURSE.Evaluative-stance | TOPIC.Work-career
600,Andere stem Wil je iets drinken?,92,Present tense (most frequent); Question form (conversation); Modal verb (1); Informal register (daily conversation); 2nd person informal (je),SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.willen | VERBCLUSTER.modal-inf | PRONOUN.2sg-informal | PRONOUN.Indefinite | DISCOURSE.Informal-register | DISCOURSE.Indirect-request | TOPIC.Daily-life
708,"Sven Oh Mark, mag ik je iets vragen?",92,Present tense (most frequent); Question form (conversation); Modal verb (1); Informal register (daily conversation); 1st person singular,SENTENCE_TYPE.Yes-no-question | TENSE.Presens | MODAL.mogen | VERBCLUSTER.modal-inf | PRONOUN.1sg | PRONOUN.2sg-informal | PRONOUN.Indefinite | MODALITY.Deontic-permission | DISCOURSE.Informal-register | DISCOURSE.Indirect-request
764,"U kunt uit Nederlandse en buitenlandse kranten kiezen, op papier of online.",92,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | CONNECTOR.en-additive | CONNECTOR.of-alternative | DISCOURSE.Formal-register-u | TOPIC.Media-entertainment | TOPIC.Nature-environment
322,"Wilco Hé Pieter, wanneer heb jij die pizza in de oven gedaan?",91,Present tense (most frequent); Wh-question (information seeking); Informal register (daily conversation); 2nd person informal (je); Topic: Daily-life,SENTENCE_TYPE.Wh-question | TENSE.Presens | ARTICLE.De | PRONOUN.2sg-informal | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register | TOPIC.Daily-life | TOPIC.Housing-living
626,"Nou, ik vind het wel mooi als het kort bij je oren is.",91,Present tense (most frequent); Informal register (daily conversation); Conversation opener; 1st person singular; 2nd person informal (je),SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | ARTICLE.Het | PRONOUN.1sg | PRONOUN.2sg-informal | PARTICLE.nou | PARTICLE.wel | SYNTAX.Subordinate-clause | CONNECTOR.als-conditional | DISCOURSE.Informal-register | DISCOURSE.Backchannel-opener | DISCOURSE.Epistemic-stance
845,"Ook lege drinkpakken, chipszakken en blikjes kunt u in de pmd-bak doen.",91,Present tense (most frequent); Modal verb (1); Formal U register (official contexts); 2nd person formal (U); Modal + infinitive cluster,SENTENCE_TYPE.Affirmative-declarative | TENSE.Presens | MODAL.kunnen | VERBCLUSTER.modal-inf | ARTICLE.De | PRONOUN.2sg-formal-u | MODALITY.Epistemic-kan | CONNECTOR.en-additive | DISCOURSE.Formal-register-u
1058,"Ivan Nee joh, met die hitte moet je niet sporten.",91,Present tense (most frequent); Negation pattern; Modal verb (1); Negation: niet; Informal register (daily conversation),SENTENCE_TYPE.Negative-declarative | TENSE.Presens | MODAL.moeten | VERBCLUSTER.modal-inf | NP.Demonstrative | PRONOUN.2sg-informal | PRONOUN.Relative-clause | NEGATION.niet | MODALITY.Deontic-obligation | DISCOURSE.Informal-register
688,De sportschool is echt fijn om alle spieren goed te trainen.' Wat betekent sporten voor jou?,90,Present tense (most frequent); Wh-question (information seeking); Informal register (daily conversation); 2nd person informal (je); Te-infinitive (purpose/goal),SENTENCE_TYPE.Wh-question | TENSE.Presens | VERBCLUSTER.te-inf | NP.Noun-compound | PRONOUN.2sg-informal | PARTICLE.echt-intensifier | DEGREE.Intensifier | DISCOURSE.Informal-register | DISCOURSE.Evaluative-stance | TOPIC.Health
